accommodates,bathrooms,bedrooms,beds,price,guests_included,availability_365,number_of_reviews,review_scores_rating,clusters,cluster
4,1.5,2.0,2.0,190.0,2,21,36,98.0,0,pink
4,1.0,4.0,4.0,275.0,2,0,23,99.0,0,pink
4,1.0,2.0,2.0,175.0,2,1,102,97.0,0,pink
2,1.0,1.0,1.0,140.0,2,65,34,98.0,0,pink
2,1.0,1.0,2.0,72.0,1,334,226,91.0,3,
2,1.0,1.0,1.0,96.0,2,240,298,98.0,3,
4,1.0,2.0,2.0,169.0,2,0,38,96.0,0,pink
2,1.0,1.0,1.0,129.0,1,5,50,95.0,0,pink
2,1.0,1.0,2.0,75.0,4,314,81,93.0,3,
4,1.0,3.0,3.0,395.0,4,358,3,80.0,1,purple
2,1.5,1.0,2.0,120.0,1,3,160,97.0,0,pink
3,1.0,1.0,1.0,100.0,2,0,16,99.0,0,pink
4,1.5,4.0,4.0,245.0,4,6,70,97.0,0,pink
2,1.0,1.0,1.0,150.0,1,123,108,91.0,0,pink
2,1.0,1.0,1.0,99.0,1,1,66,94.0,0,pink
2,1.5,2.0,4.0,299.0,4,13,94,97.0,0,pink
2,1.0,1.0,1.0,80.0,1,14,47,98.0,0,pink
4,1.0,2.0,4.0,129.0,2,316,148,93.0,3,
4,1.0,1.0,2.0,170.0,2,160,394,95.0,3,
2,1.0,1.0,1.0,170.0,1,8,6,100.0,0,pink
2,1.0,1.0,1.0,165.0,2,13,58,98.0,0,pink
4,1.0,2.0,4.0,190.0,4,63,104,95.0,0,pink
2,1.0,0.0,2.0,100.0,2,14,40,96.0,0,pink
2,1.5,1.0,1.0,280.0,1,152,88,98.0,3,
2,2.0,1.0,1.0,85.0,1,74,82,98.0,0,pink
2,1.0,1.0,1.0,199.0,2,314,41,88.0,3,
3,1.0,1.0,1.0,199.0,2,0,104,93.0,0,pink
3,1.0,1.0,2.0,100.0,2,17,113,71.0,0,pink
4,1.0,2.0,2.0,300.0,1,0,51,96.0,0,pink
3,1.0,1.0,2.0,225.0,2,355,34,100.0,3,
2,1.0,1.0,1.0,55.0,1,12,165,71.0,0,pink
2,1.0,1.0,1.0,70.0,2,23,503,97.0,0,pink
2,1.0,1.0,1.0,140.0,2,0,53,96.0,0,pink
2,1.0,1.0,1.0,130.0,2,202,121,97.0,3,
4,1.5,2.0,3.0,150.0,2,0,8,95.0,0,pink
3,1.0,1.0,2.0,129.0,2,5,23,92.0,0,pink
4,1.0,1.0,2.0,160.0,2,240,96,94.0,3,
3,1.0,2.0,2.0,120.0,2,0,6,90.0,0,pink
2,1.0,1.0,1.0,115.0,1,55,7,97.0,0,pink
4,2.0,2.0,3.0,299.0,1,358,78,98.0,3,
3,1.0,1.0,1.0,145.0,2,247,57,98.0,3,
4,1.0,2.0,2.0,185.0,2,0,19,96.0,0,pink
4,2.5,2.0,4.0,260.0,4,272,39,93.0,3,
3,2.5,3.0,5.0,275.0,2,260,128,97.0,3,
2,0.0,1.0,1.0,105.0,2,155,30,83.0,3,
4,1.0,0.0,4.0,140.0,2,324,92,96.0,3,
5,1.5,3.0,3.0,250.0,3,0,21,93.0,0,pink
2,1.0,2.0,1.0,65.0,1,0,13,92.0,0,pink
4,1.0,1.0,1.0,300.0,2,363,23,96.0,3,
2,1.0,1.0,1.0,99.0,1,98,0,97.0,0,pink
2,1.0,1.0,1.0,28.0,1,0,1,100.0,0,pink
2,1.0,1.0,2.0,82.0,2,29,175,92.0,0,pink
2,1.0,1.0,1.0,109.0,1,35,113,92.0,0,pink
2,1.0,1.0,1.0,99.0,2,136,133,97.0,3,
2,1.0,1.0,1.0,125.0,2,0,48,97.0,0,pink
4,1.0,2.0,2.0,150.0,4,42,92,97.0,0,pink
4,1.0,3.0,3.0,150.0,4,41,27,90.0,0,pink
4,1.0,2.0,2.0,250.0,2,225,102,99.0,3,
2,1.0,1.0,1.0,135.0,2,193,46,99.0,3,
2,1.0,1.0,1.0,149.0,1,0,9,89.0,0,pink
3,1.0,1.0,1.0,100.0,2,350,184,90.0,3,
2,1.0,1.0,1.0,89.0,1,142,245,95.0,3,
2,1.0,1.0,1.0,85.0,2,4,70,93.0,0,pink
4,1.0,2.0,3.0,255.0,1,117,59,91.0,0,pink
4,1.5,3.0,3.0,240.0,2,4,44,98.0,0,pink
4,1.5,1.0,3.0,175.0,2,320,60,97.0,3,
2,1.0,1.0,1.0,125.0,1,0,28,98.0,0,pink
4,1.5,3.0,3.0,175.0,2,82,18,100.0,0,pink
2,1.0,1.0,1.0,110.0,2,0,46,95.0,0,pink
2,1.0,2.0,2.0,170.0,2,2,26,99.0,0,pink
2,1.0,1.0,2.0,72.0,1,9,211,94.0,0,pink
4,1.0,3.0,3.0,235.0,2,0,2,90.0,0,pink
2,1.0,1.0,1.0,160.0,2,0,150,97.0,0,pink
4,1.0,2.0,4.0,240.0,4,0,153,89.0,0,pink
8,3.0,4.0,8.0,647.0,4,271,16,89.0,1,purple
2,1.0,1.0,1.0,125.0,2,0,28,95.0,0,pink
2,1.0,1.0,1.0,150.0,2,0,14,97.0,0,pink
2,1.0,1.0,1.0,105.0,1,276,362,94.0,3,
2,1.0,0.0,1.0,72.0,1,0,38,98.0,0,pink
4,1.0,3.0,3.0,140.0,3,13,51,97.0,0,pink
2,1.5,1.0,1.0,75.0,4,0,31,97.0,0,pink
5,1.0,2.0,4.0,79.0,2,0,96,88.0,0,pink
2,1.0,1.0,1.0,130.0,1,119,29,99.0,0,pink
2,1.0,1.0,1.0,90.0,1,0,16,99.0,0,pink
4,1.0,2.0,4.0,400.0,4,291,11,100.0,1,purple
4,2.0,3.0,6.0,350.0,4,0,28,97.0,1,purple
3,1.0,2.0,2.0,140.0,2,125,23,99.0,0,pink
2,1.0,1.0,4.0,155.0,2,218,18,97.0,3,
2,1.0,1.0,1.0,110.0,2,22,16,98.0,0,pink
5,1.0,3.0,3.0,114.0,2,0,9,96.0,0,pink
4,1.0,3.0,5.0,299.0,5,163,54,94.0,1,purple
3,1.0,2.0,3.0,130.0,2,265,101,99.0,3,
2,1.0,1.0,1.0,85.0,2,2,87,97.0,0,pink
5,1.0,2.0,3.0,400.0,4,116,56,94.0,1,purple
7,3.5,5.0,8.0,700.0,7,294,108,97.0,1,purple
4,2.5,4.0,4.0,460.0,4,12,35,98.0,1,purple
2,1.0,1.0,1.0,120.0,2,0,6,100.0,0,pink
4,1.0,1.0,2.0,130.0,2,353,1,97.0,3,
4,1.0,2.0,1.0,100.0,2,73,63,83.0,0,pink
5,1.0,4.0,3.0,135.0,1,0,0,97.0,0,pink
2,1.0,1.0,1.0,160.0,1,56,18,97.0,0,pink
4,1.5,3.0,3.0,180.0,1,0,21,99.0,0,pink
2,1.0,1.0,1.0,110.0,1,302,132,97.0,3,
2,1.0,1.0,1.0,80.0,2,0,72,96.0,0,pink
2,1.0,1.0,1.0,60.0,1,64,48,96.0,0,pink
8,3.0,4.0,8.0,600.0,8,308,68,91.0,1,purple
1,1.5,1.0,1.0,55.0,1,329,306,92.0,3,
4,1.0,2.0,4.0,170.0,2,339,22,93.0,3,
3,1.0,2.0,2.0,150.0,3,0,39,97.0,0,pink
2,1.0,1.0,1.0,149.0,4,40,24,98.0,0,pink
4,1.0,2.0,2.0,140.0,1,2,50,97.0,0,pink
2,1.0,1.0,1.0,70.0,1,4,275,85.0,0,pink
4,1.0,2.0,2.0,288.0,2,99,58,85.0,1,purple
2,0.5,1.0,1.0,60.0,1,311,151,94.0,3,
2,1.0,1.0,1.0,95.0,2,0,20,92.0,0,pink
4,1.0,2.0,2.0,250.0,1,158,16,100.0,3,
3,1.0,2.0,3.0,150.0,1,97,55,98.0,0,pink
4,1.0,2.0,4.0,139.0,4,0,7,100.0,0,pink
4,1.0,1.0,2.0,295.0,2,365,106,93.0,3,
4,1.0,1.0,4.0,200.0,1,345,47,98.0,3,
2,1.5,1.0,1.0,105.0,2,316,24,98.0,3,
4,1.0,2.0,4.0,199.0,2,59,185,97.0,0,pink
6,2.0,3.0,4.0,230.0,3,5,32,91.0,0,pink
2,1.0,1.0,1.0,110.0,1,0,23,95.0,0,pink
4,2.0,3.0,4.0,299.0,1,70,46,91.0,1,purple
2,1.0,1.0,1.0,50.0,2,0,18,96.0,0,pink
5,1.0,3.0,3.0,175.0,4,96,11,89.0,0,pink
2,1.0,1.0,2.0,125.0,1,0,10,98.0,0,pink
4,1.0,1.0,2.0,120.0,2,0,22,95.0,0,pink
2,1.0,1.0,1.0,99.0,1,1,19,92.0,0,pink
1,1.5,2.0,1.0,129.0,1,334,11,96.0,3,
4,1.5,4.0,4.0,195.0,4,0,5,100.0,0,pink
4,2.0,3.0,2.0,250.0,1,69,2,100.0,0,pink
3,1.0,2.0,2.0,150.0,1,0,15,98.0,0,pink
4,1.0,2.0,2.0,175.0,3,324,107,92.0,3,
2,1.0,1.0,2.0,110.0,2,3,79,96.0,0,pink
2,1.0,1.0,2.0,90.0,2,5,31,96.0,0,pink
2,1.0,1.0,1.0,95.0,2,6,3,93.0,0,pink
3,1.0,1.0,2.0,65.0,1,262,320,97.0,3,
4,1.0,2.0,2.0,150.0,2,0,10,98.0,0,pink
2,1.0,1.0,1.0,125.0,1,0,5,96.0,0,pink
2,1.5,2.0,1.0,206.0,4,0,26,96.0,0,pink
4,2.0,4.0,8.0,245.0,1,0,10,94.0,0,pink
5,1.0,3.0,4.0,200.0,1,6,29,93.0,0,pink
2,1.0,1.0,1.0,129.0,2,52,360,99.0,0,pink
4,1.0,2.0,2.0,97.0,2,0,6,97.0,0,pink
4,1.0,3.0,3.0,250.0,4,0,71,91.0,0,pink
3,1.0,1.0,2.0,140.0,2,0,15,87.0,0,pink
2,1.0,1.0,1.0,89.0,2,328,9,96.0,3,
2,0.5,1.0,1.0,138.0,1,340,19,99.0,3,
2,1.0,1.0,1.0,120.0,1,0,59,96.0,0,pink
2,1.0,1.0,1.0,100.0,2,0,10,96.0,0,pink
2,1.5,1.0,1.0,32.0,1,0,241,87.0,0,pink
4,1.5,3.0,4.0,150.0,1,0,17,97.0,0,pink
2,1.0,1.0,1.0,139.0,1,361,8,100.0,3,
4,2.0,3.0,4.0,230.0,2,0,1,80.0,0,pink
2,1.0,2.0,1.0,150.0,2,339,4,100.0,3,
1,1.5,1.0,1.0,90.0,1,348,8,88.0,3,
6,1.0,3.0,6.0,300.0,1,216,103,87.0,3,
4,1.0,2.0,2.0,110.0,2,154,39,97.0,3,
2,1.0,1.0,1.0,90.0,2,6,37,96.0,0,pink
4,1.0,2.0,1.0,250.0,5,302,41,87.0,3,
2,1.0,1.0,1.0,85.0,2,1,25,94.0,0,pink
5,1.0,3.0,3.0,118.0,2,0,17,91.0,0,pink
3,1.0,1.0,1.0,130.0,2,288,34,97.0,3,
4,1.5,4.0,4.0,140.0,4,0,7,97.0,0,pink
2,1.0,1.0,1.0,150.0,2,0,8,100.0,0,pink
5,1.5,3.0,5.0,225.0,4,358,49,96.0,3,
2,1.0,1.0,1.0,65.0,1,299,244,97.0,3,
4,1.0,1.0,2.0,90.0,3,0,210,89.0,0,pink
2,1.0,1.0,1.0,200.0,1,0,32,97.0,0,pink
2,1.0,1.0,1.0,90.0,1,113,178,99.0,0,pink
2,1.0,1.0,1.0,150.0,2,53,17,89.0,0,pink
2,1.0,2.0,4.0,150.0,4,0,20,98.0,0,pink
2,1.0,1.0,1.0,150.0,1,329,215,95.0,3,
2,1.0,1.0,1.0,80.0,1,77,467,94.0,0,pink
4,1.5,2.0,4.0,139.0,1,132,28,96.0,0,pink
4,1.0,2.0,2.0,232.0,2,77,34,98.0,0,pink
